n_number,mfr_mdl_code,year_manufactured,aircraft_type_code,engine_type_code,certification_code,registration_status,cert_issue_date,expiration_date,owner_state,owner_country
2068V,4360122,,6,1,UNKNOWN,V,2003-02-18,2029-07-31,TX,US
2068W,8121215,1976.0,4,2,43,V,2021-01-11,2028-01-31,OR,US
2068Y,2072410,1962.0,4,1,1,V,2021-09-08,2028-09-30,WI,US
2068Z,2071808,1963.0,4,1,1,V,2001-09-18,2028-04-30,CA,US
20690,8190104,1938.0,4,1,1,V,2006-02-28,2030-02-28,OK,US
20691,8059502,2003.0,6,1,1N,V,2024-06-14,2031-06-30,MT,US
20693,2072418,1973.0,4,8,1NU,V,2023-10-09,2030-10-31,WI,US
20696,8190120,1938.0,4,1,1,V,2024-05-23,2031-05-31,FL,US
20697,2072418,1973.0,4,8,1NU,V,2020-04-20,2030-04-30,NC,US
20699,1461103,,4,1,UNKNOWN,V,2014-04-17,2030-04-30,IA,US
2069B,2073712,2021.0,4,2,41,V,2022-09-21,2029-09-30,AK,US
2069C,1151006,1959.0,5,1,1,V,2011-12-14,2027-12-31,DE,US
2069D,1151510,,4,1,1,V,2023-01-27,2030-01-31,FL,US
2069E,2110102,1946.0,4,1,1N,V,2011-10-20,2027-10-31,FL,US
2069K,1152746,1978.0,5,1,1N,V,2023-08-26,2030-08-31,WA,US
2069M,7102803,1977.0,4,1,1NU,V,2018-03-15,2028-03-31,WY,US
2069N,05624DN,,4,1,UNKNOWN,V,2006-11-22,2028-10-31,CA,US
2069P,05901Y6,2002.0,4,7,48A,V,2015-08-04,2028-08-31,AZ,US
2069Q,2076617,2008.0,5,5,1N,V,2021-09-23,2028-09-30,OK,US
2069R,2072716,,4,1,1N,V,2023-01-10,2030-01-31,NE,US
2069U,5460114,1971.0,4,1,1N,V,2017-04-13,2027-04-30,NC,US
2069V,05902MC,2002.0,4,8,43,V,2024-08-02,2031-08-31,TX,US
2069W,2073712,2018.0,4,2,1N,V,2022-04-20,2029-04-30,UT,US
2069X,2072718,1965.0,4,1,1N,V,2011-08-08,2027-08-31,CT,US
2069Y,1152746,1979.0,5,1,1N,V,2015-06-26,2028-06-30,VA,US
2069Z,2071808,1963.0,4,1,1,V,2012-09-19,2028-09-30,MO,US
206AB,0260307,1972.0,6,3,43,V,2013-06-21,2029-06-30,DE,US
206AC,1181511,1981.0,6,3,6132,V,2013-04-19,2029-04-30,MT,US
206AF,7090553,2022.0,4,2,1N,V,2024-03-25,2031-03-31,NH,US
206AG,2073343,2020.0,4,1,1N,V,2021-02-26,2028-02-29,WI,US
206AJ,1181511,1972.0,6,3,1N,V,2022-12-19,2029-12-31,DE,US
206AL,1181506,1979.0,6,3,31,V,2023-04-04,2030-04-30,IN,US
206AM,2073303,2003.0,4,1,1N,V,2024-10-19,2031-10-31,NJ,US
206AP,1182108,1990.0,6,3,1N,V,2011-09-15,2027-09-30,DE,US
206AR,2073356,1978.0,4,3,1,V,2013-03-04,2029-03-31,AK,US
206AT,7104402,2000.0,5,1,1N,V,2000-08-01,2028-04-30,DE,US
206AV,1154006,1983.0,5,2,1N,V,2013-08-19,2029-08-31,FL,US
206AY,2073322,1967.0,4,1,1N,V,2015-03-12,2028-03-31,CA,US
206AZ,2073303,2015.0,4,1,1N,V,2018-03-21,2028-03-31,CA,US
206B,1151510,1953.0,4,1,1,V,2017-10-03,2027-10-31,IL,US
206BA,2073353,1973.0,4,1,1N,V,1973-09-05,2028-05-31,AZ,US
206BB,1181511,1967.0,6,3,6132,V,2010-05-21,2027-04-30,CA,US
206BC,2073301,1999.0,4,1,1N,V,2004-11-24,2029-01-31,MS,US
206BD,2073343,2018.0,4,1,1N,V,2020-09-10,2027-09-30,AR,US
206BE,1181511,1978.0,6,3,1N,V,1985-06-28,2027-11-30,VA,US
206BG,1181511,1972.0,6,3,1N,V,2024-07-11,2031-07-31,CA,US
206BH,1181511,1968.0,6,3,1N,V,2011-05-23,2030-05-31,TX,US
206BK,4220032,2014.0,5,1,1N,V,2024-07-23,2031-07-31,GA,US
206BL,2073356,1979.0,4,3,1N,V,2021-02-24,2028-02-29,AK,US
206BM,1181511,2000.0,6,3,1N,V,2021-10-06,2028-10-31,MT,US
206BP,1181506,1973.0,6,3,1N,V,2024-04-18,2031-04-30,FL,US
206BR,2073356,1981.0,4,3,1N,V,2024-08-07,2031-08-31,KY,US
206BS,2073313,1968.0,4,1,1N,V,2018-01-19,2028-01-31,OR,US
206BT,1390116,,5,5,UNKNOWN,V,2023-03-27,2030-03-31,UT,US
206BW,1181511,1990.0,6,3,1N,V,2009-03-10,2029-10-31,AL,US
206BX,1181511,1979.0,6,3,1N,V,2007-08-03,2028-01-31,FL,US
206BZ,1400015,2022.0,5,5,1T,V,2022-03-30,2029-03-31,UT,US
206CB,7102802,1974.0,4,1,1NU,V,2024-02-13,2031-02-28,CO,US
206CC,2073343,2019.0,4,1,1N,V,2024-01-18,2031-01-31,AK,US
206CG,2073304,,4,1,1N,V,1992-10-05,2029-01-31,AK,US
206CH,1181511,1975.0,6,3,31,V,2003-08-14,2028-01-31,WA,US
206CJ,1182108,1992.0,6,3,31,V,2013-04-04,2029-04-30,AR,US
206CP,2073301,2005.0,4,1,1N,V,2005-05-09,2027-07-31,AL,US
206CS,1181511,1989.0,6,3,1N,V,2025-05-23,2032-05-31,OH,US
206CT,2073357,1981.0,4,1,1N,V,2020-03-25,2030-03-31,AK,US
206CV,2073303,2000.0,4,1,1N,V,2009-05-20,2027-08-31,LA,US
206CW,1151425,1978.0,4,1,1U,V,2013-08-19,2029-08-31,MT,US
206D,2073356,1978.0,4,3,1N,V,2025-12-03,2032-12-31,AZ,US
206DC,2073333,1976.0,4,1,1N,V,2021-05-07,2028-05-31,AK,US
206DD,1181511,1982.0,6,3,1N,V,2025-12-02,2032-12-31,NV,US
206DF,1181511,,6,3,UNKNOWN,V,2004-09-22,2028-04-30,WA,US
206DG,1181511,1982.0,6,3,1N,V,2024-06-11,2031-06-30,NE,US
206DJ,2073302,1963.0,4,1,1N,V,2016-01-20,2029-01-31,IL,US
206DL,1182108,1986.0,6,3,1N,V,2006-10-19,2028-07-31,TX,US
206DM,2073353,1976.0,4,1,1N,V,2025-07-16,2032-07-31,ID,US
206DP,1181511,1995.0,6,3,31,V,2017-08-30,2027-08-31,NJ,US
206DT,2073303,2006.0,4,1,1N,V,2023-03-21,2030-03-31,OR,US
206DV,2073303,2007.0,4,1,1N,V,2020-03-10,2030-03-31,DE,US
206DW,2073303,1999.0,4,1,1N,V,2012-05-03,2028-05-31,TX,US
206DY,2073303,2006.0,4,1,1N,V,2020-12-18,2027-12-31,OR,US
206DZ,2073302,,4,1,30,V,2023-06-05,2030-06-30,CO,US
206EA,2073303,2000.0,4,1,1N,V,2006-04-04,2030-01-31,CT,US
206EE,2073303,2005.0,4,1,1N,V,2014-03-06,2030-03-31,CA,US
206EG,1181511,1975.0,6,3,1N,V,2017-04-24,2027-04-30,NV,US
206EH,1182108,1992.0,6,3,1N,V,2012-06-26,2028-06-30,CA,US
206EJ,2073333,1974.0,4,1,1N,V,2014-05-28,2027-05-31,AK,US
206EK,2073357,1981.0,4,1,1N,V,2017-07-19,2027-07-31,CA,US
206EL,2073306,,4,1,1N,V,2023-05-01,2030-05-31,FL,US
206EM,2073303,2011.0,4,1,1N,V,2015-06-10,2028-06-30,PA,US
206ES,1181511,1976.0,6,3,1N,V,2025-12-31,2032-12-31,OK,US
206ET,2073303,,4,1,UNKNOWN,V,2009-01-30,2029-04-30,MT,US
206EZ,2073302,1964.0,4,1,1N,V,2024-08-01,2031-08-31,MI,US
206F,2073333,1975.0,4,1,31,V,2002-01-22,2029-06-30,AK,US
206FA,1181579,,6,3,UNKNOWN,V,2001-07-18,2027-12-31,TX,US
206FC,1181455,2010.0,6,3,1N,V,2021-11-27,2028-11-30,FL,US
206FF,05623EN,,4,1,42,V,2021-08-12,2028-08-31,CA,US
206FJ,2730013,2007.0,5,5,40,V,2025-04-18,2032-04-30,UT,US
206FL,2073356,1978.0,4,3,1N,V,2022-04-25,2029-04-30,  ,  
206FM,2073356,,4,3,1N,V,2024-10-03,2031-10-31,ME,US
206FN,2073301,1999.0,4,1,1N,V,2016-08-22,2029-08-31,OH,US
206FP,1390044,2008.0,5,5,1T,V,2022-02-07,2029-02-28,IL,US
206FR,3940006,2010.0,5,5,1T,V,2023-01-23,2030-01-31,UT,US
206FS,3980218,2019.0,5,5,1T,V,2020-07-30,2027-07-31,MO,US
206FT,1181511,1978.0,6,3,1N,V,2016-02-18,2029-02-28,MO,US
206FU,06102HG,,6,10,UNKNOWN,V,2025-07-07,2032-07-31,MI,US
206G,2073357,1979.0,4,1,1N,V,2023-07-24,2030-07-31,ID,US
206GA,2073357,1979.0,4,1,1N,V,1989-08-08,2028-02-29,AK,US
206GB,2073356,,4,3,UNKNOWN,V,2001-05-01,2030-04-30,TN,US
206GC,2073301,2002.0,4,1,1N,V,2025-11-17,2032-11-30,UT,US
206GE,2073343,2018.0,4,1,1N,V,2025-10-29,2032-10-31,WA,US
206GK,2073356,1981.0,4,3,1N,V,2025-06-10,2032-06-30,AK,US
206GL,1181511,,6,3,31,V,2021-01-23,2028-01-31,NE,US
206GM,2073356,,4,3,1N,V,2024-02-28,2031-02-28,AK,US
206GP,1151425,1978.0,4,1,1U,V,2011-10-05,2027-10-31,DE,US
206GR,2073333,1972.0,4,1,1N,V,2018-11-20,2028-11-30,AK,US
206GS,1182107,1982.0,6,3,6131,V,2024-02-14,2031-02-28,UT,US
206GT,2073309,1967.0,4,1,1N,V,2020-06-30,2027-06-30,UT,US
206GV,2073357,1978.0,4,1,1N,V,2017-04-27,2030-04-30,ID,US
206GW,21101NM,1956.0,4,1,1N,V,2005-11-22,2028-10-31,CT,US
206H,2073343,2022.0,4,1,1N,V,2022-10-29,2029-10-31,CO,US
206HC,2073356,1978.0,4,3,1N,V,2017-05-26,2027-05-31,NY,US
206HD,2073343,2018.0,4,1,1N,V,2024-11-09,2031-11-30,CO,US
206HG,2073303,2011.0,4,1,1N,V,2020-05-06,2027-05-31,CA,US
206HH,2073357,1980.0,4,1,1N,V,2023-07-19,2030-07-31,ID,US
206HJ,2073303,2007.0,4,1,1N,V,2010-04-15,2030-01-31,TX,US
206HM,2073343,2021.0,4,1,1N,V,2023-05-22,2030-05-31,DE,US
206HS,06102FE,,4,7,UNKNOWN,V,2023-09-18,2030-09-30,TX,US
206HT,5870212,,4,1,1N,V,2023-07-23,2030-07-31,TN,US
206HW,056174R,2004.0,4,1,42,V,2005-02-10,2029-12-31,CA,US
206HX,3027378,2007.0,6,3,416,V,2011-08-08,2027-08-31,AZ,US
206J,2073332,1967.0,4,1,1NU,V,2022-10-20,2029-10-31,AK,US
206JA,2073301,1999.0,4,1,1N,V,2016-10-24,2029-10-31,MO,US
206JD,2073338,1968.0,4,1,1N,V,2024-06-29,2031-06-30,WA,US
206JF,2073304,1965.0,4,1,1N,V,2006-01-31,2029-04-30,MN,US
206JJ,2073332,1968.0,4,1,1N,V,2008-03-19,2030-03-31,ID,US
206JL,2073332,1968.0,4,1,1N,V,2020-03-24,2027-03-31,WI,US
206JM,2073333,1973.0,4,1,1N,V,2022-12-05,2029-12-31,TX,US
206JQ,3260121,2008.0,5,5,1T,V,2017-01-31,2030-01-31,IN,US
206JR,1181511,1974.0,6,3,1N,V,2021-03-11,2028-03-31,PA,US
206JS,1181511,1982.0,6,3,1N,V,2023-07-13,2030-07-31,TX,US
206JT,1181511,1978.0,6,3,1N,V,2024-11-19,2031-11-30,MI,US
206JV,2073338,1968.0,4,1,1N,V,2018-10-29,2028-10-31,MT,US
206JW,2073357,1981.0,4,1,1N,V,2012-06-07,2028-06-30,AK,US
206JZ,1181511,1984.0,6,3,1N,V,2018-07-16,2028-07-31,CA,US
206K,2073342,1969.0,4,1,1N,V,2021-04-13,2028-04-30,TX,US
206KC,2073204,1964.0,4,1,1N,V,2019-06-19,2029-06-30,AK,US
206KD,2073357,1979.0,4,1,1N,V,2017-05-05,2027-05-31,OR,US
206KK,1181518,1991.0,6,3,1N,V,2025-06-17,2032-06-30,DE,US
206KL,1181579,,6,3,UNKNOWN,V,2024-06-04,2031-06-30,FL,US
206KM,2073301,2001.0,4,1,1N,V,2014-04-03,2030-04-30,MO,US
206KP,060001I,2005.0,4,8,48C,V,2019-11-05,2029-11-30,TX,US
206KQ,7320001,2017.0,4,2,1N,V,2022-09-08,2029-09-30,CA,US
206KR,1181508,1969.0,6,3,1N,V,2014-06-13,2027-06-30,GA,US
206KS,1181511,1976.0,6,3,1N,V,2022-10-21,2029-10-31,NE,US
206KT,05615PA,2003.0,4,1,42,V,2024-05-13,2031-05-31,TX,US
206KW,2073356,1977.0,4,3,1N,V,2021-06-29,2028-06-30,AK,US
206KY,2073322,1966.0,4,1,1N,V,2003-07-07,2027-10-31,MO,US
206L,2073303,2004.0,4,1,1N,V,2025-06-19,2032-06-30,AR,US
206LB,2073301,,4,1,UNKNOWN,V,2025-11-20,2032-11-30,UT,US
206LE,2073303,2008.0,4,1,1N,V,2025-01-29,2032-01-31,TX,US
206LF,2073356,1980.0,4,3,1N,V,2024-11-22,2031-11-30,MA,US
206LG,2073303,2007.0,4,1,1N,V,2007-04-05,2030-01-31,AK,US
206LJ,1181455,2009.0,6,3,6131,V,2021-10-06,2028-10-31,IA,US
206LL,2073303,2012.0,4,1,1N,V,2024-08-23,2031-08-31,MT,US
206LM,2073356,1977.0,4,3,1N,V,2024-03-21,2031-03-31,  ,DE
206LR,1182108,1989.0,6,3,1N,V,2000-01-21,2029-04-30,CO,US
206LW,1182107,1978.0,6,3,1N,V,2022-12-20,2029-12-31,CA,US
206M,3790203,1954.0,5,1,1N,V,2012-04-30,2028-04-30,IN,US
206MB,2073343,2023.0,4,1,1N,V,2023-09-13,2030-09-30,DE,US
206MC,2072418,1973.0,4,8,1NU,V,2020-08-08,2027-08-31,TX,US
206MD,2073303,1999.0,4,1,1N,V,2001-06-18,2027-07-31,NV,US
206ME,2073343,2025.0,4,1,1N,V,2025-09-23,2032-09-30,TX,US
206MF,2073303,2015.0,4,1,1N,V,2023-11-13,2030-11-30,ID,US
206MG,2073356,,4,3,1N,V,2014-09-29,2027-09-30,IA,US
206MJ,1181511,1981.0,6,3,31,V,2015-03-10,2028-03-31,OR,US
206MK,05622K5,2007.0,4,1,42,V,2023-09-08,2030-09-30,AK,US
206ML,2073356,1979.0,4,3,1N,V,1996-03-11,2029-10-31,MN,US
206MM,2073333,1976.0,4,1,1N,V,2011-05-03,2027-05-31,ND,US
206MN,2073303,2006.0,4,1,1N,V,2019-11-14,2029-11-30,WA,US
206MP,1182108,1982.0,6,3,1N,V,2021-01-27,2028-01-31,TN,US
206MT,2073303,1999.0,4,1,1N,V,2023-02-24,2030-02-28,MT,US
206MV,2073357,,4,1,UNKNOWN,V,2007-06-15,2027-08-31,AZ,US
206MW,2073303,,4,1,UNKNOWN,V,2020-03-02,2030-03-31,MN,US
206MX,2073301,2001.0,4,1,1N,V,2016-03-05,2029-03-31,  ,ES
206MZ,2073303,2005.0,4,1,1N,V,2023-02-16,2030-02-28,GA,US
206N,2073356,1977.0,4,3,1N,V,2021-07-10,2028-07-31,CA,US
206NA,1181511,1972.0,6,3,1N,V,2022-10-27,2029-10-31,  ,GB
206NE,1181511,,6,3,1N,V,2022-10-18,2029-10-31,NJ,US
206NJ,1181410,1962.0,6,3,43,V,2023-01-27,2030-01-31,WA,US
206NM,2073333,,4,1,1N,V,2025-08-05,2032-08-31,TX,US
206NN,3260415,2015.0,5,5,1T,V,2015-07-06,2028-07-31,TX,US
206NU,1181511,1979.0,6,3,31,V,2017-12-12,2027-12-31,WA,US
206NV,3940006,2012.0,5,5,1T,V,2021-04-23,2028-04-30,NV,US
206NW,06102L0,,6,10,UNKNOWN,V,2026-01-06,2033-01-31,OH,US
206NY,1181511,1989.0,6,3,1,V,2020-07-22,2027-07-31,MS,US
206P,1152920,1979.0,5,2,1N,V,2022-06-13,2029-06-30,TX,US
206PA,06102FK,2024.0,6,10,49A9C,V,2023-07-10,2030-07-31,WA,US
206PB,2073356,1977.0,4,3,1N,V,2001-02-16,2029-07-31,FL,US
206PC,1181511,1984.0,6,3,1N,V,2021-04-29,2028-04-30,WA,US
206PD,2073357,1977.0,4,1,1N,V,2001-07-31,2027-10-31,IA,US
206PF,2073343,2025.0,4,1,1N,V,2025-11-11,2032-11-30,ND,US
206PH,1181511,1969.0,6,3,31,V,2019-06-28,2029-06-30,LA,US
206PJ,2073303,2008.0,4,1,1N,V,2026-01-14,2033-01-31,TX,US
206PK,2073356,1978.0,4,3,1N,V,2016-10-21,2029-10-31,MI,US
206PL,1181511,1985.0,6,3,6131,V,2019-05-29,2029-05-31,CA,US
206PM,2073303,2002.0,4,1,1N,V,2021-05-06,2028-05-31,CA,US
206PP,2073306,1965.0,4,1,1N,V,2023-06-05,2030-06-30,FL,US
206PQ,2073303,2001.0,4,1,1N,V,2024-06-04,2031-06-30,CA,US
206PR,06102FE,,4,7,UNKNOWN,V,2023-09-18,2030-09-30,TX,US
206PT,2073356,1980.0,4,3,1N,V,2023-06-15,2030-06-30,AZ,US
206PW,3740006,1972.0,6,3,312450,V,2021-02-24,2028-02-29,UT,US
206PY,2073333,1975.0,4,1,1N,V,2024-09-24,2031-09-30,AK,US
206Q,2073333,1976.0,4,1,1N,V,1998-08-13,2028-02-29,AK,US
206QS,1390009,2015.0,5,5,1T,V,2026-01-05,2033-01-31,OK,US
206RA,2073343,2021.0,4,1,1N,V,2022-01-15,2029-01-31,OK,US
206RB,2073332,1968.0,4,1,1N,V,2023-03-16,2030-03-31,AK,US
206RC,2073353,1974.0,4,1,1,V,2025-07-29,2032-07-31,ID,US
206RF,1182108,,6,3,1N,V,2023-10-10,2030-10-31,DE,US
206RG,7103002,1967.0,5,1,1,V,2016-09-26,2029-09-30,MI,US
206RH,2073302,1964.0,4,1,1N,V,2025-04-02,2032-04-30,FL,US
206RK,2073332,1968.0,4,1,1,V,2005-10-21,2028-07-31,NV,US
206RM,1181511,1974.0,6,3,31,V,2016-12-08,2029-12-31,GA,US
206RP,2073303,2005.0,4,1,1N,V,2015-07-13,2028-07-31,TX,US
206RR,2073303,2013.0,4,1,1N,V,2023-06-07,2030-06-30,PR,RQ
206RT,2073356,1977.0,4,3,1N,V,2003-01-14,2029-06-30,CO,US
206RV,1181511,1981.0,6,3,41,V,2013-11-20,2029-11-30,CO,US
206RW,1181506,1995.0,6,3,1N,V,2001-08-08,2028-02-29,ID,US
206RY,1181511,1979.0,6,3,1N,V,2004-08-30,2028-01-31,TN,US
206S,1152706,1965.0,5,1,1N,V,2021-09-29,2028-09-30,DE,US
206SA,1181511,1973.0,6,3,1N,V,2024-03-14,2031-03-31,MT,US
206SB,2073301,,4,1,UNKNOWN,V,2022-12-23,2029-12-31,CA,US
206SC,056359O,2013.0,4,1,42,V,2025-10-22,2032-10-31,MI,US
206SD,2073304,1964.0,4,1,1,V,2025-12-11,2032-12-31,TX,US
206SF,1181511,1978.0,6,3,1N,V,2025-08-27,2032-08-31,AZ,US
206SG,1182110,2000.0,6,3,1N,V,2013-01-31,2029-01-31,UT,US
206SH,1181511,1975.0,6,3,1N,V,2025-01-28,2032-01-31,FL,US
206SJ,2073303,1998.0,4,1,1N,V,2020-07-02,2027-07-31,OH,US
206SK,2073302,1964.0,4,1,1N,V,2008-05-28,2027-05-31,OK,US
206SL,1182107,1979.0,6,3,31,V,2013-05-09,2029-05-31,MT,US
206SM,2130004,2011.0,4,1,1N,V,2025-08-09,2032-08-31,MS,US
206SN,2073357,1979.0,4,1,1N,V,2022-03-03,2029-03-31,WA,US
206SP,2073304,1965.0,4,1,1N,V,2006-12-12,2029-01-31,WA,US
206SR,06001AP,,8,8,9P,V,2020-09-17,2027-09-30,AZ,US
206SS,06102FE,,4,7,UNKNOWN,V,2023-09-18,2030-09-30,TX,US
206SU,2073333,1976.0,4,1,1N,V,2005-02-22,2030-01-31,NY,US
206SV,2073312,1967.0,4,1,1N,V,2012-08-21,2028-08-31,CO,US
206SW,1181511,,6,3,6131,V,2013-06-10,2029-06-30,NJ,US
206SX,2073309,1966.0,4,1,1N,V,2019-01-25,2029-01-31,CA,US
206SY,3260415,2017.0,5,5,1T,V,2017-03-16,2030-03-31,UT,US
206T,7101808,1953.0,4,1,1,V,2014-05-12,2027-05-31,OK,US
206TA,1181511,1981.0,6,3,1N,V,2006-04-20,2030-03-31,FL,US
206TB,2073343,2025.0,4,1,1N,V,2025-07-26,2032-07-31,AL,US
206TC,2073356,1985.0,4,3,1N,V,2025-07-02,2032-07-31,MN,US
206TD,2073302,1964.0,4,1,1N,V,2010-09-14,2028-04-30,MT,US
206TG,1181511,1979.0,6,3,1N,V,2018-04-09,2028-04-30,CA,US
206TH,1181511,1975.0,6,3,1N,V,2023-11-13,2030-11-30,DE,US
206TJ,7640122,2006.0,6,1,1N,V,2024-03-21,2031-03-31,MI,US
206TM,1151604,1975.0,4,1,1U,V,2017-01-31,2030-01-31,IN,US
206TR,1181511,1979.0,6,3,1N,V,2002-12-05,2029-01-31,AR,US
206TT,2073356,1977.0,4,3,1N,V,2016-11-23,2029-11-30,AK,US
206TV,1151215,1974.0,4,1,1NU,V,2021-05-22,2028-05-31,SD,US
206TW,1181511,1978.0,6,3,1N,V,2021-09-24,2028-09-30,TX,US
206TX,2073308,,4,1,1N,V,2023-09-12,2030-09-30,UT,US
206TZ,2073357,1979.0,4,1,41,V,2017-06-07,2027-06-30,ID,US
206UA,1385219,1999.0,5,5,1T,V,2013-04-01,2029-04-30,IL,US
206UE,2073303,,4,1,1N,V,2017-07-19,2027-07-31,FL,US
206UH,1182108,,6,3,1N,V,2023-08-14,2030-08-31,GA,US
206UK,1182108,1985.0,6,3,1N,V,2022-11-24,2029-11-30,IL,US
206US,2073333,1974.0,4,1,1N,V,1989-06-01,2027-09-30,ID,US
206V,3371302,,4,1,1,V,2012-09-28,2028-09-30,NJ,US
206VB,2073303,2013.0,4,1,1N,V,2020-09-02,2027-09-30,OH,US
206VC,1182107,,6,3,UNKNOWN,V,2010-07-29,2027-10-31,CA,US
206VL,1181519,1978.0,6,3,312,V,2020-09-01,2027-09-30,DE,US
206VS,2073303,1999.0,4,1,1N,V,2024-01-17,2031-01-31,NV,US
206VT,2073332,1967.0,4,1,1N,V,2017-04-24,2030-04-30,AK,US
206W,8630802,1930.0,4,1,1,V,2005-08-11,2028-01-31,MI,US
206WA,1181511,1980.0,6,3,31,V,1997-05-19,2027-08-31,LA,US
206WB,2073333,1973.0,4,1,1N,V,2024-08-21,2031-08-31,ID,US
206WC,1181508,1969.0,6,3,1N,V,2019-07-03,2029-07-31,MI,US
206WD,2073306,1984.0,4,1,1N,V,2023-01-11,2030-01-31,OR,US
206WE,2072738,,4,2,1N,V,2022-11-29,2029-11-30,NV,US
206WF,1181511,1973.0,6,3,1N,V,2023-08-07,2030-08-31,CA,US
206WG,1181511,1979.0,6,3,1N,V,2017-06-21,2027-06-30,VA,US
206WK,2073303,2001.0,4,1,1N,V,2011-03-15,2030-03-31,TX,US
206WL,1182107,1980.0,6,3,1N,V,2023-08-26,2030-08-31,VA,US
206WN,1384404,2005.0,5,5,1T,V,2005-04-07,2030-03-31,TX,US
206WP,2073357,1980.0,4,1,1N,V,2024-12-09,2031-12-31,AK,US
206WS,06102FE,,4,7,UNKNOWN,V,2023-09-18,2030-09-30,TX,US
206WT,2073357,1976.0,4,1,416,V,2019-12-31,2029-12-31,MD,US
206WW,2073356,,4,3,1N,V,2023-08-16,2030-08-31,FL,US
206WX,1182108,1982.0,6,3,61310,V,2025-04-16,2032-04-30,AL,US
206WY,2073303,2000.0,4,1,1N,V,2024-03-05,2031-03-31,DE,US
206X,2073313,1968.0,4,1,1N,V,2025-02-25,2032-02-29,CO,US
206XL,2073333,1975.0,4,1,1N,V,2021-01-12,2028-01-31,TX,US
206XP,2073357,1983.0,4,1,1N,V,2013-12-09,2029-12-31,NH,US
206XX,4831705,,6,3,43,V,2016-04-18,2029-04-30,CO,US
206XZ,1181511,,6,3,1N,V,2025-10-29,2032-10-31,FL,US
206Y,0400102,,4,1,1,V,2020-03-30,2030-03-31,CA,US
206YA,2073302,1965.0,4,1,1N,V,2023-05-12,2030-05-31,WA,US
206YP,2073343,2020.0,4,1,1N,V,2021-02-24,2028-02-29,TX,US
206YS,2073356,1979.0,4,3,1N,V,1993-10-22,2028-08-31,NH,US
206YT,1181511,1980.0,6,3,1N,V,2023-10-30,2030-10-31,OR,US
206YY,1181508,1968.0,6,3,1N,V,2022-05-19,2029-05-31,WA,US
206ZB,2073301,2006.0,4,1,1N,V,2020-01-14,2030-01-31,WA,US
206ZM,06001B5,2018.0,4,8,9A,V,2025-04-28,2032-04-30,NV,US
206ZS,06102FE,,4,7,UNKNOWN,V,2023-09-18,2030-09-30,TX,US
206ZZ,1181511,1997.0,6,3,1N,V,2005-02-10,2029-08-31,MT,US
20700,0390308,2012.0,4,2,314,V,2015-09-14,2028-09-30,MO,US
20701,2371408,1938.0,4,1,1N,V,2000-09-13,2028-07-31,PA,US
20703,0560400,1997.0,4,1,42,V,2025-02-11,2032-02-29,WI,US
20704,2072449,,4,1,UNKNOWN,V,2021-02-04,2028-02-29,DE,US
20705,6480108,1938.0,4,1,1,V,2013-06-05,2029-06-30,TN,US
20706,2075816,1972.0,4,1,1N,V,2023-09-22,2030-09-30,LA,US
20707,2072449,2020.0,4,1,1NU,V,2020-12-09,2027-12-31,DE,US
20708,2075816,1972.0,4,1,1N,V,2010-05-14,2030-04-30,AK,US
20709,2075816,1972.0,4,1,1N,V,2016-07-08,2029-07-31,ID,US
2070B,8190112,1948.0,4,1,1,V,2025-10-28,2032-10-31,OK,US
2070C,9230404,,4,1,UNKNOWN,V,2022-12-15,2029-12-31,ND,US
2070G,2072704,1958.0,4,1,1,V,2021-06-09,2028-06-30,IA,US
2070H,0420326,1946.0,4,1,1,V,1997-02-14,2029-07-31,OH,US
2070K,2073302,1964.0,4,1,1N,V,2021-01-21,2028-01-31,TX,US
2070L,1152740,1976.0,5,1,1N,V,2004-11-05,2028-10-31,CA,US
2070M,7102807,1977.0,4,1,1NU,V,2018-03-05,2028-03-31,TX,US
2070N,2071602,1947.0,4,1,1,V,2023-04-10,2030-04-30,SD,US
2070R,5870222,1997.0,4,1,1N,V,2015-08-27,2028-08-31,TX,US
2070S,2073449,1975.0,4,1,1N,V,1997-03-11,2029-12-31,CO,US
2070U,1182107,,6,3,1N,V,2024-04-17,2031-04-30,SC,US
2070W,1152706,1965.0,5,1,1N,V,2008-09-18,2028-04-30,GA,US
2070X,2072718,,4,1,1N,V,2018-04-18,2028-04-30,WA,US
2070Y,05614JM,2000.0,4,8,47,V,2016-07-26,2029-07-31,NC,US
2070Z,2073712,2021.0,4,2,1N,V,2022-04-12,2029-04-30,UT,US
20711,2072449,2020.0,4,1,1NU,V,2020-12-11,2027-12-31,DE,US
20713,2075816,1972.0,4,1,1N,V,2020-12-01,2027-12-31,TX,US
20714,2072418,,4,8,1NU,V,2023-05-01,2030-05-31,NC,US
20716,2072418,1974.0,4,8,1NU,V,1991-09-19,2028-04-30,RI,US
20718,0390308,,4,2,314,V,2019-02-25,2029-02-28,AR,US
20719,2371422,1938.0,4,1,1,V,2011-05-09,2027-05-31,FL,US
2071B,1151242,1978.0,4,1,1NU,V,2018-05-22,2028-05-31,WI,US
2071C,05608M0,2000.0,4,1,42,V,2000-01-25,2029-04-30,TX,US
2071G,2072704,,4,1,1,V,2024-10-24,2031-10-31,MT,US
2071H,05614F1,2002.0,4,1,42,V,2002-05-17,2027-07-31,WI,US
2071L,05614KK,2004.0,4,1,42,V,2014-09-02,2027-09-30,FL,US
